Feature,Bin,Count,Default_Rate,WoE,Beta,Points
duration_months,"(3.999, 9.0]",143,0.1678,-0.7383,0.7954,18.7
duration_months,"(9.0, 12.0]",216,0.2407,-0.2958,0.7954,8.6
duration_months,"(12.0, 15.0]",72,0.1806,-0.6369,0.7954,16.4
duration_months,"(15.0, 18.0]",115,0.3739,0.3355,0.7954,-5.9
duration_months,"(18.0, 24.0]",224,0.2946,-0.0222,0.7954,2.3
duration_months,"(24.0, 30.0]",57,0.3333,0.1661,0.7954,-2.0
duration_months,"(30.0, 36.0]",86,0.4419,0.6154,0.7954,-12.4
duration_months,"(36.0, 72.0]",87,0.5172,0.9146,0.7954,-19.2
credit_amount,"(249.999, 934.7]",100,0.31,0.055,0.7782,0.5
credit_amount,"(934.7, 1262.0]",101,0.297,-0.0056,0.7782,1.9
credit_amount,"(1262.0, 1479.4]",99,0.2626,-0.1738,0.7782,5.7
credit_amount,"(1479.4, 1906.8]",100,0.22,-0.4032,0.7782,10.8
credit_amount,"(1906.8, 2319.5]",100,0.3,0.0085,0.7782,1.6
credit_amount,"(2319.5, 2852.4]",100,0.24,-0.2923,0.7782,8.3
credit_amount,"(2852.4, 3590.0]",101,0.2277,-0.3598,0.7782,9.8
credit_amount,"(3590.0, 4720.0]",99,0.2929,-0.0249,0.7782,2.3
credit_amount,"(4720.0, 7179.4]",100,0.38,0.3618,0.7782,-6.4
credit_amount,"(7179.4, 18424.0]",100,0.47,0.7274,0.7782,-14.6
age,"(18.999, 23.0]",105,0.4,0.4448,0.5511,-5.3
age,"(23.0, 26.0]",134,0.3881,0.3944,0.5511,-4.5
age,"(26.0, 28.0]",93,0.3011,0.0142,0.5511,1.5
age,"(28.0, 30.0]",77,0.3377,0.1819,0.5511,-1.1
age,"(30.0, 33.0]",105,0.3143,0.0743,0.5511,0.6
age,"(33.0, 36.0]",113,0.2035,-0.502,0.5511,9.8
age,"(36.0, 39.0]",74,0.2432,-0.2701,0.5511,6.1
age,"(39.0, 44.0]",100,0.28,-0.0873,0.5511,3.2
age,"(44.0, 52.0]",103,0.2039,-0.4984,0.5511,9.7
age,"(52.0, 75.0]",96,0.3021,0.0186,0.5511,1.5
installment_rate,"(0.999, 2.0]",367,0.2616,-0.1881,1.6314,10.6
installment_rate,"(2.0, 3.0]",157,0.2866,-0.0589,1.6314,4.5
installment_rate,"(3.0, 4.0]",476,0.334,0.1579,1.6314,-5.7
checking_account,1.0,274,0.4927,0.8173,0.8335,-17.9
checking_account,2.0,269,0.3903,0.4021,0.8335,-7.9
checking_account,3.0,63,0.2222,-0.3815,0.8335,10.9
checking_account,4.0,394,0.1168,-1.1678,0.8335,29.9
credit_history,0.0,40,0.625,1.3442,0.8036,-29.4
credit_history,1.0,49,0.5714,1.1282,0.8036,-24.4
credit_history,2.0,530,0.3189,0.0889,0.8036,-0.3
credit_history,3.0,88,0.3182,0.0936,0.8036,-0.4
credit_history,4.0,293,0.1706,-0.7268,0.8036,18.6
purpose,0.0,234,0.3803,0.3604,1.0317,-9.0
purpose,1.0,103,0.165,-0.7516,1.0317,24.1
purpose,2.0,181,0.3204,0.0991,1.0317,-1.2
purpose,3.0,280,0.2214,-0.4053,1.0317,13.8
purpose,4.0,12,0.3333,0.2104,1.0317,-4.5
purpose,5.0,22,0.3636,0.3123,1.0317,-7.5
purpose,6.0,50,0.44,0.61,1.0317,-16.4
purpose,8.0,9,0.1111,-0.8883,1.0317,28.2
purpose,9.0,97,0.3505,0.2363,1.0317,-5.3
purpose,10.0,12,0.4167,0.5362,1.0317,-14.2
savings_account,1.0,603,0.3599,0.2714,0.9459,-5.6
savings_account,2.0,103,0.3301,0.146,0.9459,-2.2
savings_account,3.0,63,0.1746,-0.6721,0.9459,20.1
savings_account,4.0,48,0.125,-1.0314,0.9459,29.9
savings_account,5.0,183,0.1749,-0.693,0.9459,20.7
employment_years,1.0,62,0.371,0.327,0.5661,-3.6
employment_years,2.0,172,0.407,0.4721,0.5661,-5.9
employment_years,3.0,339,0.3068,0.0338,0.5661,1.2
employment_years,4.0,174,0.2241,-0.3863,0.5661,8.1
employment_years,5.0,253,0.253,-0.2314,0.5661,5.5
personal_status,1.0,50,0.4,0.449,1.2171,-14.0
personal_status,2.0,310,0.3516,0.2365,1.2171,-6.5
personal_status,3.0,548,0.2664,-0.1643,1.2171,7.5
personal_status,4.0,92,0.2717,-0.1271,1.2171,6.2
other_debtors,1.0,907,0.2999,-0.0004,0.7984,1.8
other_debtors,2.0,41,0.439,0.6071,0.7984,-12.2
other_debtors,3.0,52,0.1923,-0.5518,0.7984,14.5
property,1.0,282,0.2128,-0.4559,0.4263,7.4
property,2.0,232,0.306,0.0315,0.4263,1.4
property,3.0,332,0.3072,0.036,0.4263,1.3
property,4.0,154,0.4351,0.5868,0.4263,-5.4
other_installments,1.0,139,0.4101,0.4853,0.5099,-5.4
other_installments,2.0,47,0.4043,0.4669,0.5099,-5.1
other_installments,3.0,814,0.2752,-0.1207,0.5099,3.5
housing,1.0,179,0.3911,0.406,0.3816,-2.7
housing,2.0,714,0.2605,-0.1953,0.3816,3.9
housing,3.0,107,0.4112,0.4908,0.3816,-3.6
foreign_worker,1.0,37,0.1081,-1.1611,1.2077,42.2
foreign_worker,2.0,963,0.3074,0.0349,1.2077,0.6
